X	Y	X	Y	X	Y	X	Y	X	Y
64.01	0.007	64.01	0.129	64.01	1.071	64.01	70.576	64.01	55.199
64.25	0.087	64.25	0.125	64.25	1.07	64.25	69.978	64.25	54.975
64.583	0.198	64.583	0.118	64.583	1.068	64.583	69.16	64.583	54.683
64.99	0	64.99	0.111	64.99	1.066	64.99	68.177	64.99	54.351
65	0.003	65	0.111	65	1.065	65	68.154	65	54.343
65.01	0.007	65.01	0.111	65.01	1.065	65.01	68.13	65.01	54.335
65.25	0.087	65.25	0.107	65.25	1.064	65.25	67.559	65.25	54.152
65.583	0.198	65.583	0.102	65.583	1.062	65.583	66.778	65.583	53.912
65.99	0	65.99	0.096	65.99	1.059	65.99	65.842	65.99	53.641
66	0.003	66	0.096	66	1.059	66	65.82	66	53.634
66.01	0.007	66.01	0.096	66.01	1.059	66.01	65.797	66.01	53.628
66.25	0.087	66.25	0.093	66.25	1.057	66.25	65.254	66.25	53.478
66.583	0.198	66.583	0.088	66.583	1.055	66.583	64.51	66.583	53.282
66.99	0	66.99	0.084	66.99	1.052	66.99	63.621	66.99	53.059
67	0.003	67	0.083	67	1.052	67	63.599	67	53.054
67.01	0.007	67.01	0.083	67.01	1.052	67.01	63.577	67.01	53.049
67.25	0.087	67.25	0.081	67.25	1.05	67.25	63.062	67.25	52.926
67.583	0.198	67.583	0.077	67.583	1.048	67.583	62.356	67.583	52.766
67.99	0	67.99	0.073	67.99	1.045	67.99	61.514	67.99	52.583
68	0.003	68	0.073	68	1.045	68	61.493	68	52.579
68.01	0.007	68.01	0.073	68.01	1.045	68.01	61.473	68.01	52.575
68.25	0.087	68.25	0.071	68.25	1.043	68.25	60.986	68.25	52.474
68.583	0.198	68.583	0.068	68.583	1.041	68.583	60.321	68.583	52.343
68.99	0	68.99	0.065	68.99	1.037	68.99	59.526	68.99	52.194
69	0.003	69	0.065	69	1.037	69	59.507	69	52.19
69.01	0.007	69.01	0.065	69.01	1.037	69.01	59.488	69.01	52.187
69.25	0.087	69.25	0.063	69.25	1.036	69.25	59.028	69.25	52.105
69.583	0.198	69.583	0.061	69.583	1.033	69.583	58.399	69.583	51.997
69.99	0	69.99	0.058	69.99	1.03	69.99	57.65	69.99	51.875
70	0.003	70	0.058	70	1.03	70	57.632	70	51.872
70.01	0.007	70.01	0.058	70.01	1.03	70.01	57.614	70.01	51.869
70.25	0.087	70.25	0.056	70.25	1.028	70.25	57.181	70.25	51.802
70.583	0.198	70.583	0.055	70.583	1.026	70.583	56.591	70.583	51.713
70.99	0	70.99	0.052	70.99	1.023	70.99	55.888	70.99	51.613
71	0.003	71	0.052	71	1.022	71	55.871	71	51.611
71.01	0.007	71.01	0.052	71.01	1.022	71.01	55.854	71.01	51.609
71.25	0.087	71.25	0.051	71.25	1.021	71.25	55.448	71.25	51.554
71.583	0.198	71.583	0.05	71.583	1.018	71.583	54.894	71.583	51.481
71.99	0	71.99	0.048	71.99	1.015	71.99	54.237	71.99	51.4
72	0.003	72	0.048	72	1.015	72	54.221	72	51.398
72.01	0.007	72.01	0.048	72.01	1.015	72.01	54.205	72.01	51.396
72.25	0.087	72.25	0.047	72.25	1.013	72.25	53.826	72.25	51.351
72.583	0.198	72.583	0.046	72.583	1.011	72.583	53.31	72.583	51.292
